,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
TrmpPnceMkeSens,0,0,2,3,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,2,0,0,5,5,5,0,0,0,0,4,6,2,0,9,9,0,0,0,0,0,0,0,0,7,0,8,9,4,0,0,0,0,0,4,16,8,0,0
TrumpFanNevada,0,11,2,0,0,0,0,1,3,5,9,0,0,6,5,1,0,0,0,2,5,3,4,3,1,8,3,9,0,0,0,3,1,2,6,0,6,3,0,0,0,0,0,0,6,2,2,0,1,9,0,1,0,0,0,0,2,4,0,11,0,5,4,0,0,0,0,0,2,0
TrumpIsCyrus,0,24,1,0,0,0,0,0,6,3,6,0,6,10,6,0,0,0,0,0,2,8,9,4,8,2,0,0,0,0,0,4,0,3,0,0,0,4,4,2,0,0,0,0,15,0,0,9,5,3,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0
TrumpMAGAclub,0,3,3,22,1,0,0,0,0,9,4,0,0,0,1,14,0,0,0,0,0,0,1,0,5,15,4,0,4,0,0,0,14,2,0,0,6,0,0,0,1,0,0,0,0,3,0,1,0,1,1,7,1,16,0,0,0,10,1,0,4,2,8,4,1,1,0,0,0,0
Trump_Scoop,0,3,3,2,3,4,3,6,1,8,7,5,1,0,0,0,0,0,4,3,1,0,0,0,0,2,0,0,0,2,0,2,4,4,2,7,5,5,2,2,0,6,4,9,21,4,4,1,3,8,1,1,0,2,2,4,8,1,6,0,3,1,0,0,0,0,0,0,0,0
Trumplar,0,0,27,0,0,0,0,0,0,18,5,0,0,10,3,0,0,0,0,0,0,3,0,6,2,2,8,0,0,0,0,0,0,9,0,3,5,0,5,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,4,4,0,21,6,0,5,3,0,0,0,0,4,0
Trumponly,0,3,4,0,0,0,5,9,0,6,8,8,14,2,0,1,0,0,6,10,4,2,0,0,0,8,3,19,13,0,0,15,0,12,11,4,0,1,0,0,0,2,3,10,0,3,0,2,7,0,0,1,0,0,0,3,6,10,5,0,3,1,7,0,2,0,0,2,6,0
TrumpsBelle,0,5,3,1,0,0,0,4,8,5,2,7,3,5,2,2,8,0,0,0,1,6,2,9,3,7,4,2,0,0,0,0,6,4,2,3,2,0,0,0,0,0,10,2,6,0,7,1,1,0,5,0,0,0,4,2,6,4,9,5,10,8,7,0,0,0,7,0,8,0
TruthsRequired,0,8,16,7,4,1,0,0,0,0,0,1,0,5,8,3,9,2,0,0,0,3,4,3,3,3,4,0,2,4,0,0,1,6,6,4,3,0,1,9,0,0,0,0,0,6,2,1,0,8,3,4,0,0,1,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0
Truthseeker126,0,12,1,0,0,0,3,0,11,5,5,3,5,9,3,0,0,0,4,1,6,2,1,6,2,4,2,0,0,0,3,2,5,4,2,1,6,9,0,0,0,0,5,7,7,10,2,7,3,2,2,0,0,0,5,3,4,4,7,4,2,3,1,0,0,0,8,3,4,0
